country,crpd_category,crpd_category_v,year,cpi_score,power_distance,individualism,motivation,uncertainty_avoidance,long_term_orientation,indulgence,democracy_index,democracy_cat,freedom_index,gdp,human_development_index,life_expectancy,expected_years_of_schooling,mean_years_of_schooling,crime_index,safety_index,unemployment_rate,signed,ratified,protocol
Afghanistan,signed or ratified convention with protocol,4,2022,24,NA,NA,NA,NA,NA,NA,0.32,Authoritarian Regime,10,NA,NA,NA,NA,NA,77,23,NA,FALSE,TRUE,TRUE
Albania,signed and ratified convention,3,2022,36,NA,NA,NA,NA,NA,NA,6.41,Flawed Democracy,67,6802.8,NA,NA,NA,NA,46.1,53.9,NA,TRUE,TRUE,FALSE
Algeria,signed and ratified convention with protocol,5,2022,33,NA,NA,NA,NA,NA,NA,3.66,Authoritarian Regime,32,4273.92,NA,NA,NA,NA,53.8,46.2,NA,TRUE,TRUE,TRUE
Andorra,signed and ratified convention with protocol,5,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,41992.79,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Angola,signed or ratified convention with protocol,4,2022,33,NA,NA,NA,NA,NA,NA,3.96,Authoritarian Regime,30,2998.5,NA,NA,NA,NA,66.4,33.6,NA,FALSE,TRUE,TRUE
Antigua and Barbuda,signed and ratified convention with protocol,5,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,18745.17,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Argentina,signed and ratified convention with protocol,5,2022,38,NA,NA,NA,NA,NA,NA,6.85,Flawed Democracy,84,13686.01,NA,NA,NA,NA,64.1,35.9,NA,TRUE,TRUE,TRUE
Armenia,signed and ratified convention with protocol,5,2022,46,NA,NA,NA,NA,NA,NA,5.63,Hybrid Regime,55,7014.21,NA,NA,NA,NA,22.1,77.9,NA,TRUE,TRUE,TRUE
Australia,signed and ratified convention with protocol,5,2022,75,NA,NA,NA,NA,NA,NA,8.71,Full Democracy,95,64491.43,NA,NA,NA,NA,43.8,56.2,3.7,TRUE,TRUE,TRUE
Austria,signed and ratified convention with protocol,5,2022,71,NA,NA,NA,NA,NA,NA,8.2,Full Democracy,93,52131.45,NA,NA,NA,NA,26.1,73.9,4.99,TRUE,TRUE,TRUE
Azerbaijan,signed and ratified convention with protocol,5,2022,23,NA,NA,NA,NA,NA,NA,2.87,Authoritarian Regime,9,7736.7,NA,NA,NA,NA,32.3,67.7,5.65,TRUE,TRUE,TRUE
Bahamas,signed and ratified convention,3,2022,64,NA,NA,NA,NA,NA,NA,NA,NA,91,31458.3,NA,NA,NA,NA,62.5,37.5,NA,TRUE,TRUE,FALSE
Bahrain,signed and ratified convention,3,2022,44,NA,NA,NA,NA,NA,NA,2.52,Authoritarian Regime,12,30152.03,NA,NA,NA,NA,24.4,75.6,NA,TRUE,TRUE,FALSE
Bangladesh,signed and ratified convention with protocol,5,2022,25,NA,NA,NA,NA,NA,NA,5.99,Hybrid Regime,39,2688.3,NA,NA,NA,NA,63.4,36.6,NA,TRUE,TRUE,TRUE
Barbados,signed and ratified convention,3,2022,65,NA,NA,NA,NA,NA,NA,NA,NA,95,20018.52,NA,NA,NA,NA,46.6,53.4,NA,TRUE,TRUE,FALSE
Belarus,signed and ratified convention,3,2022,39,NA,NA,NA,NA,NA,NA,1.99,Authoritarian Regime,8,7904.86,NA,NA,NA,NA,58.4,41.6,3.57,TRUE,TRUE,FALSE
Belgium,signed and ratified convention with protocol,5,2022,73,NA,NA,NA,NA,NA,NA,7.64,Flawed Democracy,96,49582.83,NA,NA,NA,NA,45.4,54.6,5.56,TRUE,TRUE,TRUE
Belize,signed and ratified convention,3,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,6968.36,NA,NA,NA,NA,51.5,48.5,NA,TRUE,TRUE,FALSE
Benin,signed and ratified convention with protocol,5,2022,43,NA,NA,NA,NA,NA,NA,4.28,Hybrid Regime,59,1303.22,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Bhutan,signed or ratified convention,2,2022,68,NA,NA,NA,NA,NA,NA,5.54,Hybrid Regime,61,NA,NA,NA,NA,NA,NA,NA,5.95,TRUE,FALSE,FALSE
Bolivia,signed and ratified convention,3,2022,31,NA,NA,NA,NA,NA,NA,4.51,Hybrid Regime,66,3523.27,NA,NA,NA,NA,58.3,41.7,3.55,TRUE,TRUE,FALSE
Bosnia and Herzegovina,signed and ratified convention with protocol,5,2022,34,NA,NA,NA,NA,NA,NA,5,Hybrid Regime,53,7585.38,NA,NA,NA,NA,42.2,57.8,12.66,TRUE,TRUE,TRUE
Botswana,signed or ratified convention,2,2022,60,NA,NA,NA,NA,NA,NA,7.73,Flawed Democracy,72,7737.65,NA,NA,NA,NA,52.4,47.6,23.62,FALSE,TRUE,FALSE
Brazil,signed and ratified convention with protocol,5,2022,38,NA,NA,NA,NA,NA,NA,6.78,Flawed Democracy,73,8917.67,NA,NA,NA,NA,67,33,9.23,TRUE,TRUE,TRUE
Brunei,signed and ratified convention,3,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,37152.47,NA,NA,NA,NA,29,71,NA,TRUE,TRUE,FALSE
Bulgaria,signed and ratified convention with protocol,5,2022,43,NA,NA,NA,NA,NA,NA,6.53,Flawed Democracy,79,13772.48,NA,NA,NA,NA,38.7,61.3,4.27,TRUE,TRUE,TRUE
Burkina Faso,signed and ratified convention with protocol,5,2022,42,NA,NA,NA,NA,NA,NA,3.08,Authoritarian Regime,53,832.88,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Burundi,signed and ratified convention with protocol,5,2022,17,NA,NA,NA,NA,NA,NA,2.13,Authoritarian Regime,14,238.44,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Cabo Verde,signed and ratified convention,3,2022,60,NA,NA,NA,NA,NA,NA,NA,NA,92,3902.59,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
Cambodia,signed and ratified convention with protocol,5,2022,24,NA,NA,NA,NA,NA,NA,3.18,Authoritarian Regime,24,1786.56,NA,NA,NA,NA,50.7,49.3,NA,TRUE,TRUE,TRUE
Cameroon,signed and ratified convention with protocol,5,2022,26,NA,NA,NA,NA,NA,NA,2.56,Authoritarian Regime,15,1588.48,NA,NA,NA,NA,66.6,33.4,NA,TRUE,TRUE,TRUE
Canada,signed and ratified convention with protocol,5,2022,74,NA,NA,NA,NA,NA,NA,8.88,Full Democracy,98,54966.49,NA,NA,NA,NA,42.9,57.1,5.28,TRUE,TRUE,TRUE
Central African Republic,signed and ratified convention with protocol,5,2022,24,NA,NA,NA,NA,NA,NA,1.35,Authoritarian Regime,7,427.06,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Chad,signed and ratified convention with protocol,5,2022,19,NA,NA,NA,NA,NA,NA,1.67,Authoritarian Regime,15,716.8,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Chile,signed and ratified convention with protocol,5,2022,67,NA,NA,NA,NA,NA,NA,8.22,Full Democracy,94,15355.51,NA,NA,NA,NA,54,46,8.25,TRUE,TRUE,TRUE
China,signed and ratified convention,3,2022,45,NA,NA,NA,NA,NA,NA,1.94,Authoritarian Regime,9,12720.22,NA,NA,NA,NA,29.4,70.6,NA,TRUE,TRUE,FALSE
Colombia,signed and ratified convention,3,2022,39,NA,NA,NA,NA,NA,NA,6.72,Flawed Democracy,64,6630.28,NA,NA,NA,NA,57.7,42.3,10.55,TRUE,TRUE,FALSE
Comoros,signed and ratified convention,3,2022,19,NA,NA,NA,NA,NA,NA,3.2,Authoritarian Regime,42,1484.89,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
