country,crpd_category,crpd_category_v,year,cpi_score.x,cpi_score.y,power_distance,individualism,motivation,uncertainty_avoidance,long_term_orientation,indulgence,democracy_index,democracy_cat,freedom_index,gdp,human_development_index,life_expectancy,expected_years_of_schooling,mean_years_of_schooling,masculinity_index,crime_index,safety_index,unemployment_rate
Afghanistan,ratified both crpd and protocol,4,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,78.6,21.4,NA
Afghanistan,ratified both crpd and protocol,4,2022,24,24,NA,NA,NA,NA,NA,NA,0.32,Authoritarian Regime,10,NA,NA,NA,NA,NA,NA,77,23,NA
Afghanistan,ratified both crpd and protocol,4,2021,16,16,NA,NA,NA,NA,NA,NA,0.32,Authoritarian Regime,27,363.67,0.48,61.98,10.26,2.99,NA,76.4,23.6,5.58
Afghanistan,ratified both crpd and protocol,4,2020,19,19,NA,NA,NA,NA,NA,NA,2.85,Authoritarian Regime,27,516.87,NA,NA,NA,NA,NA,76.2,23.8,11.71
Afghanistan,ratified both crpd and protocol,4,2019,16,16,NA,NA,NA,NA,NA,NA,2.85,Authoritarian Regime,27,500.52,NA,NA,NA,NA,NA,76.6,23.4,NA
Afghanistan,ratified both crpd and protocol,4,2018,16,16,NA,NA,NA,NA,NA,NA,2.97,Authoritarian Regime,26,502.06,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,ratified both crpd and protocol,4,2017,15,15,NA,NA,NA,NA,NA,NA,2.55,Authoritarian Regime,24,530.15,NA,NA,NA,NA,NA,73.9,26.1,11.18
Albania,ratified protocol,3,2023,NA,NA,90,27,80,70,56,15,NA,NA,67,NA,NA,NA,NA,NA,NA,45.7,54.3,NA
Albania,ratified protocol,3,2022,36,36,NA,NA,NA,NA,NA,NA,6.41,Flawed Democracy,67,6802.8,NA,NA,NA,NA,NA,46.1,53.9,NA
Albania,ratified protocol,3,2021,35,35,NA,NA,NA,NA,NA,NA,6.11,Flawed Democracy,66,6377.2,0.8,76.46,14.45,11.29,NA,41.6,58.4,NA
Albania,ratified protocol,3,2020,36,36,NA,NA,NA,NA,NA,NA,6.08,Flawed Democracy,67,5343.04,NA,NA,NA,NA,NA,39.5,60.5,NA
Albania,ratified protocol,3,2019,35,35,NA,NA,NA,NA,NA,NA,5.89,Hybrid Regime,68,5396.21,NA,NA,NA,NA,NA,40.3,59.7,11.47
Albania,ratified protocol,3,2018,36,36,NA,NA,NA,NA,NA,NA,5.98,Hybrid Regime,68,5287.66,NA,NA,NA,NA,NA,39.9,60.1,12.3
Albania,ratified protocol,3,2017,38,38,NA,NA,NA,NA,NA,NA,5.98,Hybrid Regime,68,4531.03,NA,NA,NA,NA,NA,44.3,55.7,13.62
Algeria,ratified protocol,3,2023,NA,NA,80,29,35,70,25,32,NA,NA,32,NA,NA,NA,NA,NA,NA,52.6,47.4,NA
Algeria,ratified protocol,3,2022,33,33,NA,NA,NA,NA,NA,NA,3.66,Authoritarian Regime,32,4273.92,NA,NA,NA,NA,NA,53.8,46.2,NA
Algeria,ratified protocol,3,2021,33,33,NA,NA,NA,NA,NA,NA,3.77,Authoritarian Regime,32,3700.31,0.74,76.38,14.63,8.07,NA,51.9,48.1,NA
Algeria,ratified protocol,3,2020,36,36,NA,NA,NA,NA,NA,NA,3.77,Authoritarian Regime,34,3354.16,NA,NA,NA,NA,NA,49.8,50.2,NA
Algeria,ratified protocol,3,2019,35,35,NA,NA,NA,NA,NA,NA,4.01,Hybrid Regime,34,4021.98,NA,NA,NA,NA,NA,48.3,51.7,NA
Algeria,ratified protocol,3,2018,35,35,NA,NA,NA,NA,NA,NA,3.5,Authoritarian Regime,35,4171.8,NA,NA,NA,NA,NA,50.7,49.3,NA
Algeria,ratified protocol,3,2017,33,33,NA,NA,NA,NA,NA,NA,3.56,Authoritarian Regime,35,4134.94,NA,NA,NA,NA,NA,49.6,50.4,12
Andorra,ratified both crpd and protocol,4,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,ratified both crpd and protocol,4,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,41992.79,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,ratified both crpd and protocol,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,42072.34,0.86,80.37,13.3,10.56,NA,NA,NA,NA
Andorra,ratified both crpd and protocol,4,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,37207.22,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,ratified both crpd and protocol,4,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,41328.6,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,ratified both crpd and protocol,4,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,42904.83,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,ratified both crpd and protocol,4,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,40632.23,NA,NA,NA,NA,NA,NA,NA,NA
Angola,ratified both crpd and protocol,4,2023,NA,NA,83,18,20,60,15,83,NA,NA,28,NA,NA,NA,NA,NA,NA,65.4,34.6,NA
Angola,ratified both crpd and protocol,4,2022,33,33,NA,NA,NA,NA,NA,NA,3.96,Authoritarian Regime,30,2998.5,NA,NA,NA,NA,NA,66.4,33.6,NA
Angola,ratified both crpd and protocol,4,2021,29,29,NA,NA,NA,NA,NA,NA,3.37,Authoritarian Regime,31,1903.72,0.59,61.64,12.17,5.42,NA,66.6,33.4,15.8
Angola,ratified both crpd and protocol,4,2020,27,27,NA,NA,NA,NA,NA,NA,3.66,Authoritarian Regime,32,1502.95,NA,NA,NA,NA,NA,65,35,NA
Angola,ratified both crpd and protocol,4,2019,26,26,NA,NA,NA,NA,NA,NA,3.72,Authoritarian Regime,31,2142.24,NA,NA,NA,NA,NA,NA,NA,16.5
Angola,ratified both crpd and protocol,4,2018,19,19,NA,NA,NA,NA,NA,NA,3.62,Authoritarian Regime,26,2487.5,NA,NA,NA,NA,NA,NA,NA,NA
Angola,ratified both crpd and protocol,4,2017,19,19,NA,NA,NA,NA,NA,NA,3.62,Authoritarian Regime,24,2283.21,NA,NA,NA,NA,NA,65.5,34.5,NA
Antigua and Barbuda,ratified protocol,3,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ratified protocol,3,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,18745.17,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ratified protocol,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,16740.35,0.79,78.5,14.18,9.29,NA,NA,NA,NA
Antigua and Barbuda,ratified protocol,3,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,15284.77,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ratified protocol,3,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,18187.78,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ratified protocol,3,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,17514.36,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ratified protocol,3,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,16110.31,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,ratified both crpd and protocol,4,2023,NA,NA,49,51,56,86,29,62,NA,NA,85,NA,NA,NA,NA,NA,56,64.3,35.7,NA
Argentina,ratified both crpd and protocol,4,2022,38,38,NA,NA,NA,NA,NA,NA,6.85,Flawed Democracy,84,13686.01,NA,NA,NA,NA,NA,64.1,35.9,NA
Argentina,ratified both crpd and protocol,4,2021,38,38,NA,NA,NA,NA,NA,NA,6.81,Flawed Democracy,84,10636.12,0.84,75.39,17.87,11.15,NA,63.3,36.7,8.74
Argentina,ratified both crpd and protocol,4,2020,42,42,NA,NA,NA,NA,NA,NA,6.95,Flawed Democracy,85,8496.43,NA,NA,NA,NA,NA,61.8,38.2,11.46
Argentina,ratified both crpd and protocol,4,2019,45,45,NA,NA,NA,NA,NA,NA,7.02,Flawed Democracy,84,9963.67,NA,NA,NA,NA,NA,62.6,37.4,9.84
Argentina,ratified both crpd and protocol,4,2018,40,40,NA,NA,NA,NA,NA,NA,7.02,Flawed Democracy,83,11795.16,NA,NA,NA,NA,NA,61.8,38.2,9.22
Argentina,ratified both crpd and protocol,4,2017,39,39,NA,NA,NA,NA,NA,NA,6.96,Flawed Democracy,82,14613.04,NA,NA,NA,NA,NA,62.6,37.4,8.35
Armenia,ratified both crpd and protocol,4,2023,NA,NA,85,17,50,88,38,25,NA,NA,54,NA,NA,NA,NA,NA,NA,22,78,NA
Armenia,ratified both crpd and protocol,4,2022,46,46,NA,NA,NA,NA,NA,NA,5.63,Hybrid Regime,55,7014.21,NA,NA,NA,NA,NA,22.1,77.9,NA
Armenia,ratified both crpd and protocol,4,2021,49,49,NA,NA,NA,NA,NA,NA,5.49,Hybrid Regime,55,4966.51,0.76,72.04,13.12,11.33,NA,23.3,76.7,10.01
Armenia,ratified both crpd and protocol,4,2020,49,49,NA,NA,NA,NA,NA,NA,5.35,Hybrid Regime,53,4505.87,NA,NA,NA,NA,NA,21.6,78.4,12.18
Armenia,ratified both crpd and protocol,4,2019,42,42,NA,NA,NA,NA,NA,NA,5.54,Hybrid Regime,51,4828.5,NA,NA,NA,NA,NA,22,78,12.2
Armenia,ratified both crpd and protocol,4,2018,35,35,NA,NA,NA,NA,NA,NA,4.79,Hybrid Regime,45,4391.92,NA,NA,NA,NA,NA,28.3,71.7,13.21
