country,crpd_sign,crpd_ratif,protocol_sign,protocol_ratif,year,cpi_score.x,cpi_score.y,power_distance,individualism,motivation,uncertainty_avoidance,long_term_orientation,indulgence,democracy_index,democracy_cat,freedom_index,gdp,human_development_index,life_expectancy,expected_years_of_schooling,mean_years_of_schooling,crime_index,safety_index,unemployment_rate
Afghanistan,NA,2012-09-18,NA,2012-09-18,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,78.6,21.4,NA
Afghanistan,NA,2012-09-18,NA,2012-09-18,2022,24,24,NA,NA,NA,NA,NA,NA,0.32,Authoritarian Regime,10,NA,NA,NA,NA,NA,77,23,NA
Afghanistan,NA,2012-09-18,NA,2012-09-18,2021,16,16,NA,NA,NA,NA,NA,NA,0.32,Authoritarian Regime,27,363.67,0.48,61.98,10.26,2.99,76.4,23.6,5.58
Afghanistan,NA,2012-09-18,NA,2012-09-18,2020,19,19,NA,NA,NA,NA,NA,NA,2.85,Authoritarian Regime,27,516.87,NA,NA,NA,NA,76.2,23.8,11.71
Afghanistan,NA,2012-09-18,NA,2012-09-18,2019,16,16,NA,NA,NA,NA,NA,NA,2.85,Authoritarian Regime,27,500.52,NA,NA,NA,NA,76.6,23.4,NA
Afghanistan,NA,2012-09-18,NA,2012-09-18,2018,16,16,NA,NA,NA,NA,NA,NA,2.97,Authoritarian Regime,26,502.06,NA,NA,NA,NA,NA,NA,NA
Afghanistan,NA,2012-09-18,NA,2012-09-18,2017,15,15,NA,NA,NA,NA,NA,NA,2.55,Authoritarian Regime,24,530.15,NA,NA,NA,NA,73.9,26.1,11.18
Afghanistan,NA,2012-09-18,NA,2012-09-18,2016,15,15,NA,NA,NA,NA,NA,NA,2.55,Authoritarian Regime,24,520.25,NA,NA,NA,NA,NA,NA,NA
Afghanistan,NA,2012-09-18,NA,2012-09-18,2015,11,11,NA,NA,NA,NA,NA,NA,2.77,Authoritarian Regime,24,592.48,NA,NA,NA,NA,77.3,22.7,NA
Afghanistan,NA,2012-09-18,NA,2012-09-18,2014,12,12,NA,NA,NA,NA,NA,NA,2.77,Authoritarian Regime,26,628.15,NA,NA,NA,NA,82.5,17.5,7.91
