country,category,category_n,date_signed_convention,date_ratified_convention,date_signed_protocol,date_ratified_protocol,year,corruption_score,democracy_index,democracy_cat,freedom_index,dgp_per_capita,human_development_index,life_expectancy,expected_years_of_schooling,mean_years_of_schooling,crime_index,safety_index,unemployment_rate,power_distance,individualism,motivation,uncertainty_avoidance,long_term_orientation,indulgence,masculinity
Afghanistan,ratified both convention and protocol,4,NA,2012-09-18,NA,2012-09-18,2023,NA,NA,NA,8,NA,NA,NA,NA,NA,78.6,21.4,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,ratified both convention and protocol,4,NA,2012-09-18,NA,2012-09-18,2022,24,0.32,Authoritarian Regime,10,NA,NA,NA,NA,NA,77,23,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,ratified both convention and protocol,4,NA,2012-09-18,NA,2012-09-18,2021,16,0.32,Authoritarian Regime,27,363.67,0.48,61.98,10.26,2.99,76.4,23.6,5.58,NA,NA,NA,NA,NA,NA,NA
Afghanistan,ratified both convention and protocol,4,NA,2012-09-18,NA,2012-09-18,2020,19,2.85,Authoritarian Regime,27,516.87,NA,NA,NA,NA,76.2,23.8,11.71,NA,NA,NA,NA,NA,NA,NA
Afghanistan,ratified both convention and protocol,4,NA,2012-09-18,NA,2012-09-18,2019,16,2.85,Authoritarian Regime,27,500.52,NA,NA,NA,NA,76.6,23.4,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,ratified both convention and protocol,4,NA,2012-09-18,NA,2012-09-18,2018,16,2.97,Authoritarian Regime,26,502.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,ratified both convention and protocol,4,NA,2012-09-18,NA,2012-09-18,2017,15,2.55,Authoritarian Regime,24,530.15,NA,NA,NA,NA,73.9,26.1,11.18,NA,NA,NA,NA,NA,NA,NA
Albania,ratified protocol,3,2009-12-22,2013-02-11,NA,NA,2023,NA,NA,NA,67,NA,NA,NA,NA,NA,45.7,54.3,NA,90,27,80,70,56,15,NA
Albania,ratified protocol,3,2009-12-22,2013-02-11,NA,NA,2022,36,6.41,Flawed Democracy,67,6802.8,NA,NA,NA,NA,46.1,53.9,NA,90,27,80,70,56,15,NA
Albania,ratified protocol,3,2009-12-22,2013-02-11,NA,NA,2021,35,6.11,Flawed Democracy,66,6377.2,0.8,76.46,14.45,11.29,41.6,58.4,NA,90,27,80,70,56,15,NA
